Injection,Layer,TensorIndex,Bit,n_injections,masked,non_critical,critical
11002,classifier.3,"(3969, 2640)",30,12630,8342,0,4288
11003,classifier.3,"(1447, 2333)",0,12630,12630,0,0
11004,classifier.3,"(274, 1888)",3,12630,12627,3,0
11005,classifier.3,"(1616, 684)",23,12630,12630,0,0
11006,classifier.3,"(528, 3388)",5,12630,12630,0,0
11007,classifier.3,"(3664, 2847)",27,12630,12613,17,0
11008,classifier.3,"(1458, 1247)",19,12630,11706,924,0
11009,classifier.3,"(2488, 3835)",26,12630,12630,0,0
11010,classifier.3,"(2162, 823)",17,12630,12630,0,0
11011,classifier.3,"(2836, 1735)",11,12630,12630,0,0
11012,classifier.3,"(2972, 616)",2,12630,12630,0,0
11013,classifier.3,"(677, 82)",8,12630,12505,125,0
11014,classifier.3,"(3305, 1903)",13,12630,12630,0,0
11015,classifier.3,"(2149, 1096)",9,12630,12630,0,0
11016,classifier.3,"(3629, 3983)",30,12630,12115,0,515
11017,classifier.3,"(449, 2681)",19,12630,12630,0,0
11018,classifier.3,"(1355, 3462)",11,12630,12630,0,0
11019,classifier.3,"(1923, 2952)",23,12630,12630,0,0
11020,classifier.3,"(2162, 1626)",17,12630,12630,0,0
11021,classifier.3,"(2097, 1489)",5,12630,12630,0,0
11022,classifier.3,"(1974, 34)",7,12630,12623,7,0
11023,classifier.3,"(988, 2566)",21,12630,12621,9,0
11024,classifier.3,"(3909, 3321)",17,12630,12630,0,0
11025,classifier.3,"(816, 3036)",6,12630,12630,0,0
11026,classifier.3,"(1726, 2969)",23,12630,12630,0,0
11027,classifier.3,"(2035, 1286)",13,12630,12630,0,0
11028,classifier.3,"(3854, 2962)",0,12630,12630,0,0
11029,classifier.3,"(1767, 4054)",15,12630,12630,0,0
11030,classifier.3,"(961, 3791)",20,12630,12023,607,0
11031,classifier.3,"(1366, 2619)",9,12630,12630,0,0
11032,classifier.3,"(1805, 1205)",17,12630,12423,207,0
11033,classifier.3,"(1922, 2057)",9,12630,12630,0,0
11034,classifier.3,"(786, 1675)",22,12630,12608,22,0
11035,classifier.3,"(3953, 3542)",20,12630,12609,21,0
11036,classifier.3,"(3581, 1358)",0,12630,12630,0,0
11037,classifier.3,"(4020, 1616)",14,12630,12630,0,0
11038,classifier.3,"(3062, 155)",0,12630,12630,0,0
11039,classifier.3,"(3443, 2121)",20,12630,12630,0,0
11040,classifier.3,"(2671, 362)",19,12630,12630,0,0
11041,classifier.3,"(1398, 2397)",2,12630,12630,0,0
11042,classifier.3,"(3898, 1304)",24,12630,12630,0,0
11043,classifier.3,"(1533, 2992)",22,12630,12630,0,0
11044,classifier.3,"(3610, 1472)",12,12630,12284,346,0
11045,classifier.3,"(3701, 190)",27,12630,12160,470,0
11046,classifier.3,"(1288, 2958)",29,12630,12613,17,0
11047,classifier.3,"(1782, 3117)",1,12630,12630,0,0
11048,classifier.3,"(495, 3008)",22,12630,12218,412,0
11049,classifier.3,"(1089, 1113)",26,12630,12630,0,0
11050,classifier.3,"(1176, 1661)",5,12630,12630,0,0
11051,classifier.3,"(3348, 3769)",23,12630,11447,1183,0
11052,classifier.3,"(164, 520)",5,12630,12630,0,0
11053,classifier.3,"(3031, 1621)",8,12630,12630,0,0
11054,classifier.3,"(3680, 200)",13,12630,12630,0,0
11055,classifier.3,"(2463, 781)",18,12630,12630,0,0
11056,classifier.3,"(3635, 3905)",21,12630,12066,564,0
