Injection,Layer,TensorIndex,Bit,n_injections,masked,non_critical,critical
220,conv2_x.1.residual_function.3,"(60, 3, 2, 2)",20,10000,0,9998,2
221,conv2_x.1.residual_function.3,"(28, 8, 2, 1)",19,10000,0,9996,4
222,conv2_x.1.residual_function.3,"(52, 14, 0, 0)",2,10000,10000,0,0
223,conv3_x.0.residual_function.0,"(77, 63, 0, 0)",15,10000,1706,8293,1
224,conv3_x.0.residual_function.0,"(34, 49, 1, 1)",26,10000,0,9993,7
225,conv3_x.0.residual_function.0,"(39, 53, 2, 0)",31,10000,0,10000,0
226,conv3_x.0.residual_function.0,"(104, 35, 0, 2)",23,10000,0,9997,3
227,conv3_x.0.residual_function.0,"(55, 56, 1, 0)",23,10000,0,9999,1
228,conv3_x.0.residual_function.0,"(25, 47, 2, 2)",22,10000,0,9991,9
229,conv3_x.0.residual_function.0,"(15, 50, 1, 0)",7,10000,10000,0,0
230,conv3_x.0.residual_function.0,"(116, 11, 2, 0)",1,10000,10000,0,0
231,conv3_x.0.residual_function.0,"(12, 42, 0, 0)",13,10000,1141,8859,0
232,conv3_x.0.residual_function.0,"(17, 26, 2, 0)",14,10000,580,9419,1
233,conv3_x.0.residual_function.0,"(84, 18, 2, 0)",17,10000,0,9998,2
234,conv3_x.0.residual_function.0,"(37, 16, 2, 1)",11,10000,10000,0,0
235,conv3_x.0.residual_function.0,"(28, 3, 0, 0)",22,10000,0,9999,1
236,conv3_x.0.residual_function.0,"(60, 41, 0, 0)",16,10000,4,9994,2
237,conv3_x.0.residual_function.0,"(13, 16, 2, 1)",7,10000,10000,0,0
238,conv3_x.0.residual_function.0,"(16, 60, 1, 1)",6,10000,10000,0,0
239,conv3_x.0.residual_function.0,"(115, 28, 2, 0)",19,10000,0,9998,2
240,conv3_x.0.residual_function.0,"(117, 3, 0, 1)",25,10000,0,9474,526
241,conv3_x.0.residual_function.0,"(109, 13, 1, 2)",28,10000,0,9996,4
242,conv3_x.0.residual_function.0,"(18, 10, 1, 2)",9,10000,10000,0,0
243,conv3_x.0.residual_function.0,"(16, 16, 1, 2)",20,10000,0,9998,2
244,conv3_x.0.residual_function.0,"(97, 37, 1, 2)",27,10000,0,9994,6
245,conv3_x.0.residual_function.0,"(25, 14, 2, 2)",13,10000,449,9549,2
246,conv3_x.0.residual_function.0,"(110, 57, 0, 1)",21,10000,0,9999,1
