Injection,Layer,TensorIndex,Bit,n_injections,masked,non_critical,critical
15435,layer3.2.conv2,"(40, 43, 1, 0)",29,12630,0,12630,0
15436,layer3.2.conv2,"(17, 35, 1, 2)",28,12630,268,12362,0
15437,layer3.2.conv2,"(44, 25, 2, 2)",28,12630,2,12627,1
15438,layer3.2.conv2,"(17, 4, 0, 1)",9,12630,12630,0,0
15439,layer3.2.conv2,"(21, 25, 1, 2)",11,12630,12630,0,0
15440,layer3.2.conv2,"(46, 48, 2, 1)",20,12630,0,12630,0
15441,layer3.2.conv2,"(1, 48, 1, 0)",7,12630,12630,0,0
15442,layer3.2.conv2,"(10, 51, 1, 1)",25,12630,0,12614,16
15443,layer3.2.conv2,"(45, 12, 0, 1)",1,12630,12630,0,0
15444,layer3.2.conv2,"(30, 41, 1, 1)",6,12630,12630,0,0
15445,layer3.2.conv2,"(7, 6, 1, 1)",1,12630,12630,0,0
15446,layer3.2.conv2,"(45, 54, 2, 1)",30,12630,0,12595,35
15447,layer3.2.conv2,"(23, 13, 0, 1)",1,12630,12630,0,0
15448,layer3.2.conv2,"(5, 34, 2, 2)",13,12630,865,11765,0
15449,layer3.2.conv2,"(4, 3, 2, 1)",15,12630,225,12405,0
15450,layer3.2.conv2,"(29, 63, 2, 0)",15,12630,320,12310,0
15451,layer3.2.conv2,"(54, 14, 0, 2)",31,12630,707,11905,18
15452,layer3.2.conv2,"(57, 21, 0, 2)",6,12630,12630,0,0
15453,layer3.2.conv2,"(49, 25, 2, 0)",7,12630,12630,0,0
15454,layer3.2.conv2,"(55, 42, 0, 1)",2,12630,12630,0,0
15455,layer3.2.conv2,"(3, 34, 1, 0)",6,12630,12630,0,0
15456,layer3.2.conv2,"(41, 25, 1, 1)",2,12630,12630,0,0
15457,layer3.2.conv2,"(2, 26, 1, 2)",28,12630,0,12630,0
15458,layer3.2.conv2,"(10, 62, 0, 0)",0,12630,12630,0,0
15459,layer3.2.conv2,"(6, 44, 1, 2)",23,12630,35,12595,0
15460,layer3.2.conv2,"(1, 13, 2, 2)",28,12630,28,12602,0
15461,layer3.2.conv2,"(1, 7, 2, 1)",11,12630,12630,0,0
15462,layer3.2.conv2,"(33, 18, 0, 0)",22,12630,3,12627,0
