Injection,Layer,TensorIndex,Bit,n_injections,masked,non_critical,critical
12594,layers.16.conv3,"(302, 730, 0, 0)",5,10000,10000,0,0
12595,layers.16.conv3,"(126, 236, 0, 0)",0,10000,10000,0,0
12596,layers.16.conv3,"(201, 73, 0, 0)",25,10000,9,9991,0
12597,layers.16.conv3,"(10, 366, 0, 0)",28,10000,10000,0,0
12598,layers.16.conv3,"(129, 945, 0, 0)",23,10000,2660,7340,0
12599,layers.16.conv3,"(208, 632, 0, 0)",24,10000,10000,0,0
12600,layers.16.conv3,"(42, 928, 0, 0)",12,10000,10000,0,0
12601,layers.16.conv3,"(141, 227, 0, 0)",21,10000,918,9081,1
12602,layers.16.conv3,"(286, 953, 0, 0)",20,10000,199,9801,0
12603,layers.16.conv3,"(200, 173, 0, 0)",17,10000,10000,0,0
12604,layers.16.conv3,"(243, 446, 0, 0)",19,10000,10000,0,0
12605,layers.16.conv3,"(29, 304, 0, 0)",6,10000,10000,0,0
12606,layers.16.conv3,"(147, 149, 0, 0)",24,10000,35,9965,0
12607,layers.16.conv3,"(79, 432, 0, 0)",3,10000,10000,0,0
12608,layers.16.conv3,"(131, 413, 0, 0)",1,10000,2988,7011,1
12609,layers.16.conv3,"(13, 449, 0, 0)",29,10000,4972,5028,0
12610,layers.16.conv3,"(201, 914, 0, 0)",22,10000,8961,1039,0
12611,layers.16.conv3,"(111, 73, 0, 0)",13,10000,10000,0,0
12612,layers.16.conv3,"(236, 290, 0, 0)",24,10000,10000,0,0
12613,layers.16.conv3,"(308, 800, 0, 0)",30,10000,10000,0,0
12614,layers.16.conv3,"(246, 932, 0, 0)",11,10000,10000,0,0
12615,layers.16.conv3,"(131, 172, 0, 0)",4,10000,1298,8702,0
12616,layers.16.conv3,"(90, 866, 0, 0)",6,10000,26,1002,8972
12617,layers.16.conv3,"(68, 772, 0, 0)",6,10000,10000,0,0
12618,layers.16.conv3,"(81, 286, 0, 0)",18,10000,242,9757,1
12619,layers.16.conv3,"(258, 75, 0, 0)",26,10000,10000,0,0
12620,layers.16.conv3,"(282, 124, 0, 0)",22,10000,10000,0,0
12621,layers.16.conv3,"(205, 92, 0, 0)",2,10000,0,10000,0
12622,layers.16.conv3,"(286, 435, 0, 0)",9,10000,10000,0,0
12623,layers.16.conv3,"(165, 810, 0, 0)",4,10000,1351,8647,2
12624,layers.16.conv3,"(15, 387, 0, 0)",29,10000,40,9960,0
12625,layers.16.conv3,"(38, 396, 0, 0)",12,10000,9,9991,0
12626,layers.16.conv3,"(274, 756, 0, 0)",4,10000,10000,0,0
12627,layers.16.conv3,"(93, 26, 0, 0)",7,10000,10000,0,0
12628,layers.16.conv3,"(181, 810, 0, 0)",30,10000,10000,0,0
12629,layers.16.conv3,"(256, 431, 0, 0)",30,10000,10000,0,0
12630,layers.16.conv3,"(3, 116, 0, 0)",8,10000,10000,0,0
12631,layers.16.conv3,"(8, 906, 0, 0)",12,10000,59,9941,0
12632,layers.16.conv3,"(194, 128, 0, 0)",25,10000,10000,0,0
12633,layers.16.conv3,"(190, 786, 0, 0)",13,10000,10000,0,0
12634,layers.16.conv3,"(241, 553, 0, 0)",8,10000,10000,0,0
12635,layers.16.conv3,"(103, 335, 0, 0)",23,10000,10000,0,0
12636,layers.16.conv3,"(34, 166, 0, 0)",23,10000,10000,0,0
12637,layers.16.conv3,"(279, 818, 0, 0)",22,10000,10000,0,0
12638,layers.16.conv3,"(308, 950, 0, 0)",18,10000,10000,0,0
12639,layers.16.conv3,"(24, 347, 0, 0)",17,10000,6829,3171,0
12640,layers.16.conv3,"(161, 807, 0, 0)",25,10000,10000,0,0
12641,layers.16.conv3,"(195, 782, 0, 0)",23,10000,10000,0,0
12642,layers.16.conv3,"(284, 525, 0, 0)",10,10000,10000,0,0
12643,layers.16.conv3,"(133, 216, 0, 0)",15,10000,10000,0,0
12644,layers.16.conv3,"(83, 158, 0, 0)",3,10000,10000,0,0
12645,layers.16.conv3,"(86, 113, 0, 0)",24,10000,10000,0,0
12646,layers.16.conv3,"(206, 680, 0, 0)",11,10000,0,10000,0
12647,layers.16.conv3,"(268, 899, 0, 0)",25,10000,10000,0,0
12648,layers.16.conv3,"(179, 909, 0, 0)",30,10000,476,9524,0
12649,layers.16.conv3,"(282, 113, 0, 0)",12,10000,10000,0,0
12650,layers.16.conv3,"(196, 822, 0, 0)",20,10000,10000,0,0
12651,layers.16.conv3,"(123, 571, 0, 0)",24,10000,142,9857,1
12652,layers.16.conv3,"(198, 780, 0, 0)",12,10000,10000,0,0
12653,layers.16.conv3,"(144, 477, 0, 0)",3,10000,0,10000,0
12654,layers.16.conv3,"(119, 301, 0, 0)",29,10000,6743,3257,0
12655,layers.16.conv3,"(280, 765, 0, 0)",25,10000,8739,1261,0
12656,layers.16.conv3,"(222, 749, 0, 0)",21,10000,808,9192,0
12657,layers.16.conv3,"(179, 408, 0, 0)",0,10000,0,10000,0
12658,layers.16.conv3,"(305, 392, 0, 0)",23,10000,8897,1103,0
12659,layers.16.conv3,"(224, 523, 0, 0)",26,10000,9952,48,0
12660,layers.16.conv3,"(14, 780, 0, 0)",10,10000,10000,0,0
12661,layers.16.conv3,"(318, 390, 0, 0)",30,10000,10000,0,0
12662,layers.16.conv3,"(116, 17, 0, 0)",1,10000,10000,0,0
12663,layers.16.conv3,"(76, 467, 0, 0)",31,10000,10000,0,0
12664,layers.16.conv3,"(103, 12, 0, 0)",19,10000,10000,0,0
12665,layers.16.conv3,"(202, 860, 0, 0)",6,10000,10000,0,0
12666,layers.16.conv3,"(243, 299, 0, 0)",20,10000,4,9996,0
12667,layers.16.conv3,"(284, 595, 0, 0)",27,10000,10000,0,0
12668,layers.16.conv3,"(287, 302, 0, 0)",1,10000,10000,0,0
12669,layers.16.conv3,"(200, 903, 0, 0)",19,10000,33,9967,0
12670,layers.16.conv3,"(191, 477, 0, 0)",29,10000,300,9700,0
12671,layers.16.conv3,"(100, 566, 0, 0)",27,10000,10000,0,0
12672,layers.16.conv3,"(231, 591, 0, 0)",5,10000,10000,0,0
12673,layers.16.conv3,"(176, 952, 0, 0)",12,10000,1,9999,0
12674,layers.16.conv3,"(10, 128, 0, 0)",30,10000,1,9999,0
12675,layers.16.conv3,"(206, 220, 0, 0)",18,10000,10000,0,0
12676,layers.16.conv3,"(308, 511, 0, 0)",25,10000,10000,0,0
12677,layers.16.conv3,"(267, 474, 0, 0)",26,10000,10000,0,0
12678,layers.16.conv3,"(151, 879, 0, 0)",5,10000,10000,0,0
12679,layers.16.conv3,"(246, 364, 0, 0)",2,10000,10000,0,0
12680,layers.16.conv3,"(297, 442, 0, 0)",22,10000,2543,7457,0
12681,layers.16.conv3,"(58, 89, 0, 0)",26,10000,10000,0,0
12682,layers.16.conv3,"(111, 841, 0, 0)",3,10000,10000,0,0
12683,layers.16.conv3,"(211, 51, 0, 0)",2,10000,9994,6,0
